,Thành phố,Tổng số ca,Tổng số ca(24h),Tử vong
1,Hà Nội,1260781,10252,1204
2,TP. Hồ Chí Minh,592881,849,19975
3,Nghệ An,377125,3976,135
4,Bình Dương,372660,1486,3493
5,Hải Dương,336803,1778,103
6,Bắc Ninh,318944,1416,132
7,Vĩnh Phúc,316677,2768,19
8,Bắc Giang,299940,3997,85
9,Nam Định,282611,655,145
10,Quảng Ninh,265615,2553,113
11,Phú Thọ,262570,3638,78
12,Thái Bình,221928,2798,21
13,Hưng Yên,207367,1493,5
14,Hòa Bình,189883,1197,99
15,Thái Nguyên,159962,2435,100
16,Lào Cai,139546,3430,33
17,Cà Mau,131122,1660,351
18,Lạng Sơn,131045,3121,68
19,Sơn La,129440,2206,0
20,Đắk Lắk,128342,3909,151
21,Tây Ninh,123456,1338,904
22,Bình Định,116546,1775,265
23,Hải Phòng,113818,483,135
24,Khánh Hòa,113079,534,344
25,Tuyên Quang,111163,2180,13
26,Bình Phước,106104,1045,215
27,Đồng Nai,105762,105,1858
28,Thanh Hóa,99810,766,103
29,Yên Bái,96669,3995,11
30,Hà Giang,96356,2518,76
31,Quảng Bình,95121,2626,71
32,Bến Tre,86737,972,433
33,Đà Nẵng,86342,743,334
34,Ninh Bình,86225,917,89
35,Vĩnh Long,85473,1177,807
36,Cần Thơ,75610,90,933
37,Điện Biên,75575,1248,17
38,Lâm Đồng,74262,1370,122
39,Cao Bằng,73456,1829,41
40,Trà Vinh,69752,626,88
41,Hà Nam,68218,1432,59
42,Quảng Trị,66041,1478,35
43,Bà Rịa – Vũng Tàu,65448,583,486
44,Lai Châu,59711,1231,0
45,Đồng Tháp,49605,20,1000
46,Gia Lai,48487,-,94
47,Bình Thuận,48107,205,463
48,Long An,46829,146,1088
49,Đắk Nông,45479,754,44
50,Bạc Liêu,44335,173,439
51,Bắc Kạn,42857,1786,17
52,Quảng Nam,42821,320,137
53,Thừa Thiên Huế,39094,681,173
54,An Giang,38854,116,1301
55,Kiên Giang,37699,148,968
56,Quảng Ngãi,37184,591,120
57,Hà Tĩnh,36653,-,35
58,Tiền Giang,36023,14,1290
59,Phú Yên,35892,761,123
60,Sóc Trăng,33583,15,609
61,Kon Tum,24135,750,0
62,Hậu Giang,16782,27,219
63,Ninh Thuận,8249,31,60
